"commodity";"station1";"station2";"baseTariff";"deadline"
402;527703;521001;"2403.29561558823";"6"
402;537300;521001;"2444.77041411765";"6"
402;622109;521001;"3018.31456411765";"6"
402;611509;521001;"2695.26309205882";"6"
402;528509;521001;"2414.20041411765";"6"
402;596703;521001;"3162.54802";"6"
402;237007;521001;"3733.926795";"6"
402;657108;521001;"4196.32052294118";"6"
402;831608;521001;"4607.97104794118";"6"
402;601600;521001;"3296.81325823529";"6"
402;817206;521001;"4300.71407588235";"6"
402;584405;521001;"3121.94686411765";"6"
402;845901;521001;"5155.26545823529";"6"
402;845704;521001;"5155.26545823529";"6"
402;615001;521001;"2708.51009205882";"6"
402;830304;521001;"4559.22988029412";"6"
402;583101;521001;"3066.41286264706";"6"
402;601102;521001;"3298.39120970588";"6"
402;635306;521001;"3777.39763470588";"6"
402;832403;521001;"4727.36488029412";"6"
402;619002;521001;"3267.82120970588";"6"
402;530405;521001;"2045.14558764706";"6"
402;529605;521001;"2006.91870176471";"6"
402;608101;521001;"3503.29562588235";"6"
402;794907;521001;"4647.90176176471";"6"
402;624000;521001;"3408.04909647059";"6"
402;653200;521001;"4302.02468970588";"6"
402;633300;521001;"3673.64305470588";"6"
402;537007;521001;"2459.64032147059";"6"
402;516200;521001;"1719.10604794118";"6"
402;586504;521001;"2356.72132147059";"6"
402;197308;521001;"3563.83771264706";"6"
402;234301;521001;"3521.66010382353";"6"
402;245003;521001;"4072.39813470588";"6"
402;527101;521001;"2254.74339794118";"6"
402;651008;521001;"4335.92352294118";"6"
402;651309;521001;"4195.00930970588";"6"
402;510702;521001;"2060.43058764706";"6"
402;883809;521001;"5524.88283264706";"6"
402;223803;521001;"3372.21925823529";"6"
402;195001;521001;"3885.61543470588";"6"
402;216000;521001;"3518.58062588235";"6"
402;205909;521001;"3349.18835970588";"6"
402;622607;521001;"2182.76207711765";"6"
402;852500;521001;"4787.23766388235";"6"
402;885100;521001;"5200.06303594118";"6"
402;209007;521001;"2709.41124770588";"0"
402;209100;521001;"2709.41124770588";"6"
402;652706;521001;"3670.22634770588";"6"
402;207603;521001;"2907.18266388235";"6"
402;527703;510702;"1703.69122734118";"6"
402;537300;510702;"1736.74504583529";"6"
402;622109;510702;"2031.69879171765";"6"
402;611509;510702;"1747.95404583529";"6"
402;528509;510702;"1706.17504583529";"6"
402;596703;510702;"2059.41707825882";"6"
402;237007;510702;"2599.28126423529";"6"
402;657108;510702;"3262.71135628235";"6"
402;831608;510702;"3699.39620574118";"6"
402;601600;510702;"2221.83541632941";"6"
402;817206;510702;"3427.78211538823";"6"
402;584405;510702;"2032.92168762353";"6"
402;845901;510702;"4284.34771308235";"6"
402;845704;510702;"4237.17323995294";"6"
402;615001;510702;"1571.29507487059";"6"
402;830304;510702;"3652.22173261176";"6"
402;583101;510702;"1934.92668743529";"6"
402;601102;510702;"2197.28629171765";"6"
402;635306;510702;"2795.53644437647";"6"
402;832403;510702;"3820.35673261176";"6"
402;619002;510702;"2296.07970837647";"6"
402;530405;510702;"1310.97615595294";"6"
402;529605;510702;"1304.25423254118";"6"
402;608101;510702;"2400.20688272941";"6"
402;794907;510702;"3775.98599602353";"6"
402;624000;510702;"2369.63688272941";"6"
402;653200;510702;"3425.19711618823";"6"
402;633300;510702;"2585.17389256471";"6"
402;537007;510702;"1789.20100795294";"6"
402;516200;510702;"1133.86882498824";"6"
402;586504;510702;"1214.04216254118";"6"
402;197308;510702;"2430.08588084706";"6"
402;234301;510702;"2421.51213472941";"6"
402;245003;510702;"3010.92436851765";"6"
402;527101;510702;"1552.34167487059";"6"
402;651008;510702;"3402.31435628235";"6"
402;651309;510702;"3318.18173618823";"6"
402;510702;510702;"0.0";"6"
402;883809;510702;"4646.01505329412";"6"
402;223803;510702;"2246.56153524706";"6"
402;195001;510702;"2750.24906334118";"6"
402;216000;510702;"2415.49188272941";"6"
402;205909;510702;"2265.50970837647";"6"
402;622607;510702;"1723.26125421176";"6"
402;852500;510702;"4428.02671308235";"6"
402;885100;510702;"4831.29574729412";"6"
402;209007;510702;"2168.75429171765";"6"
402;209100;510702;"2168.75429171765";"6"
402;652706;510702;"3393.71332494118";"6"
402;207603;510702;"2364.54188272941";"6"
402;527703;034026;"3621.80292823529";"6"
402;537300;034026;"3621.80292823529";"6"
402;622109;034026;"3117.50385628235";"6"
402;611509;034026;"3339.70632494118";"6"
402;528509;034026;"3591.23292823529";"6"
402;596703;034026;"2779.94675138824";"6"
402;237007;034026;"2317.08602174118";"6"
402;657108;034026;"3487.41394743529";"6"
402;831608;034026;"3526.22509195294";"6"
402;601600;034026;"2893.03191877647";"6"
402;817206;034026;"3547.06500861176";"6"
402;584405;034026;"3099.95202484706";"6"
402;845901;034026;"4190.03837595294";"6"
402;845704;034026;"4142.88370738824";"6"
402;615001;034026;"3403.37574668235";"6"
402;830304;034026;"3605.06706404706";"6"
402;583101;034026;"3216.85635628235";"6"
402;601102;034026;"2822.87288164706";"6"
402;635306;034026;"3474.49633618824";"6"
402;832403;034026;"3726.06720004706";"6"
402;619002;034026;"3388.61832494118";"6"
402;530405;034026;"3420.89506602353";"6"
402;529605;034026;"3465.38774694118";"6"
402;608101;034026;"3126.24222484706";"6"
402;794907;034026;"3653.98987743529";"6"
402;624000;034026;"3313.08673618824";"6"
402;653200;034026;"3675.66544602353";"6"
402;633300;034026;"3274.51137628235";"6"
402;537007;034026;"3629.14409195294";"6"
402;516200;034026;"3347.66267694118";"6"
402;586504;034026;"3160.23673618824";"6"
402;197308;034026;"1814.85707825882";"6"
402;234301;034026;"2483.67866334118";"6"
402;245003;034026;"2815.61175138824";"6"
402;527101;034026;"3579.06160861176";"6"
402;651008;034026;"3588.83374668235";"6"
402;651309;034026;"3408.47074668235";"6"
402;510702;034026;"3314.18394743529";"6"
402;883809;034026;"4551.60669334118";"6"
402;223803;034026;"2709.53284437647";"6"
402;195001;034026;"2530.04210837647";"6"
402;216000;034026;"2679.98184437647";"6"
402;205909;034026;"2761.73288164706";"6"
402;622607;034026;"3184.81832494118";"6"
402;852500;034026;"4333.71737595294";"6"
402;885100;034026;"4736.88738734118";"6"
402;209007;034026;"2930.73491877647";"6"
402;209100;034026;"2930.73491877647";"6"
402;652706;034026;"3568.78567694118";"6"
402;207603;034026;"2887.93691877647";"6"
402;527703;190609;"3071.21622484706";"6"
402;537300;190609;"3071.21622484706";"6"
402;622109;190609;"2031.69879171765";"6"
402;611509;190609;"2356.38988272941";"6"
402;528509;190609;"3040.64622484706";"6"
402;596703;190609;"1631.40082583529";"6"
402;237007;190609;"1377.08216254118";"6"
402;657108;190609;"2846.18175138824";"6"
402;831608;190609;"3375.17567694118";"6"
402;601600;190609;"1728.14722734118";"6"
402;817206;190609;"3262.13673618823";"6"
402;584405;190609;"1939.20648743529";"6"
402;845901;190609;"4001.30087430588";"6"
402;845704;190609;"3954.14620574118";"6"
402;615001;190609;"2527.51887256471";"6"
402;830304;190609;"3445.16500861176";"6"
402;583101;190609;"2079.79707825882";"6"
402;601102;190609;"1680.76343962353";"6"
402;635306;190609;"2383.24501632941";"6"
402;832403;190609;"3578.84006602353";"6"
402;619002;190609;"2405.30188272941";"6"
402;530405;190609;"2750.37191877647";"6"
402;529605;190609;"2737.68882138824";"6"
402;608101;190609;"2059.21188762353";"6"
402;794907;190609;"3308.10315484706";"6"
402;624000;190609;"2260.41470837647";"6"
402;653200;190609;"3107.74974851765";"6"
402;633300;190609;"2188.70631171765";"6"
402;537007;190609;"3166.92535628235";"6"
402;516200;190609;"2576.27488164706";"6"
402;586504;190609;"2107.56470837647";"6"
402;197308;190609;"1159.70651705882";"6"
402;234301;190609;"1261.42014795294";"6"
402;245003;190609;"1815.99615242353";"6"
402;527101;190609;"2976.68596851765";"6"
402;651008;190609;"2819.58484437647";"6"
402;651309;190609;"2761.73288164706";"6"
402;510702;190609;"2400.14387256471";"6"
